consumer_TG;interaction_type;resource_TG
bact_sapro;eats;SOM
fungi_sapro;eats;SOM
yeates_sapro;eats;SOM
fungi_plant_symbiont;eats;CO2
bacterivore;eats;bact_sapro
nema_bact;eats;bact_sapro
nema_bact;eats;yeates_sapro
fungivore;eats;fungi_sapro
fungivore;eats;fungi_nema_para
fungivore;eats;fungi_plant_symbiont
fungivore;eats;fungi_plant_para
fungivore;eats;yeates_sapro
fungi_nema_para;eats;fungivore
fungi_nema_para;eats;nema_bact
fungi_nema_para;eats;omnivore
fungi_plant_para;eats;plant
fungi_fungi_para;eats;fungi_sapro
fungi_fungi_para;eats;fungi_plant_para
fungi_fungi_para;eats;fungi_plant_symbiont
micro_omnivore;eats;bact_sapro
micro_omnivore;eats;fungi_sapro
micro_omnivore;eats;yeates_sapro
micro_omnivore;eats;bacterivore
omnivore;eats;nema_bact
omnivore;eats;fungivore
